学校：北京邮电大学 学校域名：bupt.edu.cn
学校：西安交通大学 学校域名：xjtu.edu.cn
学校：北京大学 学校域名：pku.edu.cn
学校：清华大学 学校域名：tsinghua.edu.cn
学校：复旦大学 学校域名：fudan.edu.cn
学校：浙江大学 学校域名：zju.edu.cn
学校：南京大学 学校域名：nju.edu.cn
学校：中山大学 学校域名：sysu.edu.cn
学校：上海交通大学 学校域名：sjtu.edu.cn
学校：华中科技大学 学校域名：hust.edu.cn
学校：武汉大学 学校域名：whu.edu.cn
学校：同济大学 学校域名：tongji.edu.cn
学校：中国科学技术大学 学校域名：ustc.edu.cn
学校：中国人民大学 学校域名：ruc.edu.cn
学校：四川大学 学校域名：scu.edu.cn
学校：山东大学 学校域名：sdu.edu.cn
学校：吉林大学 学校域名：jlu.edu.cn
学校：厦门大学 学校域名：xmu.edu.cn
学校：东南大学 学校域名：seu.edu.cn
学校：天津大学 学校域名：tju.edu.cn
学校：南开大学 学校域名：nankai.edu.cn
学校：华东师范大学 学校域名：ecnu.edu.cn
学校：华南理工大学 学校域名：scut.edu.cn
学校：北京师范大学 学校域名：bnu.edu.cn
学校：湖南大学 学校域名：hnu.edu.cn
学校：大连理工大学 学校域名：dlut.edu.cn
学校：东北大学 学校域名：neu.edu.cn
学校：兰州大学 学校域名：lzu.edu.cn
学校：西北工业大学 学校域名：nwpu.edu.cn
学校：北京理工大学 学校域名：bit.edu.cn
学校：华东理工大学 学校域名：ecust.edu.cn
学校：中国农业大学 学校域名：cau.edu.cn
学校：北京航空航天大学 学校域名：buaa.edu.cn
学校：中央民族大学 学校域名：muc.edu.cn
学校：电子科技大学 学校域名：uestc.edu.cn
学校：中国海洋大学 学校域名：ouc.edu.cn
学校：北京科技大学 学校域名：ustb.edu.cn
学校：南京航空航天大学 学校域名：nuaa.edu.cn
学校：南京理工大学 学校域名：njust.edu.cn
学校：中国矿业大学 学校域名：cumt.edu.cn
学校：中国地质大学（武汉） 学校域名：cug.edu.cn
学校：中国地质大学（北京） 学校域名：cugb.edu.cn
学校：中国石油大学（华东） 学校域名：upc.edu.cn
学校：中国石油大学（北京） 学校域名：cup.edu.cn
学校：北京交通大学 学校域名：bjtu.edu.cn
学校：西南交通大学 学校域名：swjtu.edu.cn
学校：哈尔滨工业大学 学校域名：hit.edu.cn
学校：哈尔滨工程大学 学校域名：hrbeu.edu.cn
学校：北京化工大学 学校域名：buct.edu.cn
学校：北京林业大学 学校域名：bfu.edu.cn
学校：北京中医药大学 学校域名：bucm.edu.cn
学校：华北电力大学 学校域名：ncepu.edu.cn
学校：东华大学 学校域名：dhu.edu.cn
学校：上海财经大学 学校域名：sufe.edu.cn
学校：上海大学 学校域名：shu.edu.cn
学校：苏州大学 学校域名：suda.edu.cn
学校：河海大学 学校域名：hhu.edu.cn
学校：江南大学 学校域名：ju.edu.cn
学校：南京师范大学 学校域名：njnu.edu.cn
学校：浙江工业大学 学校域名：zjut.edu.cn
学校：杭州电子科技大学 学校域名：hdu.edu.cn
学校：浙江师范大学 学校域名：zjnu.edu.cn
学校：宁波诺丁汉大学 学校域名：nottingham.edu.cn
学校：温州肯恩大学 学校域名：wku.edu.cn
学校：A大学 学校域名：a.edu.cn
学校：B大学 学校域名：b.edu.cn
学校：A大学 学校域名：a.edu.cn
学校：A大学 学校域名：a.edu.cn
学校：A大学 学校域名：a.edu.cn
学校：A大学 学校域名：a.edu.cn
学校：A大学 学校域名：a.edu.cn
学校：A大学 学校域名：a.edu.cn
